Date,Followers
2018-01-06-22-00-03,181
2018-01-07-00-00-02,182
2018-01-07-02-00-02,182
2018-01-07-04-00-03,182
2018-01-07-06-00-02,183
2018-01-07-08-00-03,183
2018-01-07-10-00-03,183
2018-01-07-12-00-03,183
2018-01-07-18-00-04,184
2018-01-07-20-00-05,184
2018-01-07-22-00-03,185
2018-01-08-00-00-05,185
2018-01-08-02-00-02,186
2018-01-08-04-00-03,186
2018-01-08-06-00-04,186
2018-01-08-08-00-04,187
2018-01-08-10-00-04,187
2018-01-08-12-00-04,187
2018-01-08-14-00-04,187
2018-01-08-16-00-03,188
2018-01-08-18-00-03,188
2018-01-08-20-00-03,188
2018-01-08-22-00-03,189
2018-01-09-00-00-05,190
2018-01-09-02-00-04,190
2018-01-09-04-00-03,190
2018-01-09-06-00-03,190
2018-01-09-08-00-03,190
2018-01-09-10-00-04,190
2018-01-09-12-00-04,190
2018-01-09-14-00-03,191
2018-01-09-16-00-03,191
2018-01-09-18-00-04,191
2018-01-09-20-00-03,191
2018-01-09-22-00-04,192
2018-01-10-00-00-04,192
2018-01-10-02-00-02,192
2018-01-10-04-00-04,192
2018-01-10-06-00-04,191
2018-01-10-08-00-04,191
2018-01-10-10-00-04,191
2018-01-10-12-00-03,193
2018-01-10-14-00-04,192
2018-01-10-16-00-04,191
2018-01-10-18-00-04,191
2018-01-10-20-00-03,192
2018-01-10-22-00-03,192
2018-01-11-00-00-04,193
2018-01-11-02-00-02,193
2018-01-11-04-00-03,197
2018-01-11-06-00-03,197
2018-01-11-08-00-03,197
2018-01-11-10-00-05,196
2018-01-11-12-00-03,196
2018-01-11-14-00-05,196
2018-01-11-16-00-04,196
2018-01-11-18-00-04,196
2018-01-11-20-00-03,198
2018-01-11-22-00-03,200
2018-01-12-00-00-03,201
2018-01-12-02-00-04,201
2018-01-12-04-00-03,201
2018-01-12-06-00-04,201
2018-01-12-08-00-04,202
2018-01-12-10-00-04,202
2018-01-12-12-00-04,203
2018-01-12-14-00-02,203
2018-01-12-16-00-04,203
2018-01-12-18-00-04,203
2018-01-12-20-00-04,204
2018-01-12-22-00-04,204
2018-01-13-00-00-03,205
2018-01-13-02-00-04,205
2018-01-13-04-00-04,205
2018-01-13-06-00-02,205
2018-01-13-08-00-04,205
2018-01-13-10-00-04,205
2018-01-13-12-00-03,205
2018-01-13-14-00-04,205
2018-01-13-16-00-04,205
2018-01-13-18-00-05,205
2018-01-13-20-00-04,205
2018-01-13-22-00-04,207
2018-01-14-00-00-04,207
2018-01-14-02-00-04,208
2018-01-14-04-00-04,208
2018-01-14-06-00-02,208
2018-01-14-08-00-03,209
2018-01-14-10-00-04,211
2018-01-14-12-00-04,211
2018-01-14-14-00-03,212
2018-01-14-16-00-04,212
2018-01-14-18-00-03,212
2018-01-14-20-00-04,212
2018-01-14-22-00-04,212
2018-01-15-00-00-03,211
2018-01-15-02-00-04,211
2018-01-15-04-00-03,211
2018-01-15-06-00-03,211
2018-01-15-08-00-03,210
2018-01-15-10-00-04,210
2018-01-15-12-00-04,210
2018-01-15-14-00-04,209
2018-01-15-16-00-03,211
2018-01-15-18-00-04,212
2018-01-15-20-00-03,213
2018-01-15-22-00-05,213
2018-01-16-00-00-03,213
2018-01-16-02-00-03,214
2018-01-16-04-00-05,216
2018-01-16-06-00-04,219
2018-01-16-08-00-03,220
2018-01-16-10-00-04,222
2018-01-16-12-00-05,222
2018-01-16-14-00-04,222
2018-01-16-16-00-05,223
2018-01-16-18-00-04,225
2018-01-16-20-00-04,225
2018-01-16-22-00-04,226
2018-01-17-00-00-04,227
2018-01-17-02-00-04,227
2018-01-17-04-00-04,227
2018-01-17-06-00-05,229
2018-01-17-08-00-05,229
2018-01-17-10-00-04,229
2018-01-17-12-00-03,230
2018-01-17-14-00-04,230
2018-01-17-16-00-03,230
2018-01-17-18-00-05,229
2018-01-17-20-00-03,229
2018-01-17-22-00-04,230
2018-01-18-00-00-02,230
2018-01-18-02-00-03,230
2018-01-18-04-00-03,230
2018-01-18-06-00-03,230
2018-01-18-08-00-02,231
2018-01-18-10-00-03,232
2018-01-18-12-00-03,233
2018-01-18-14-00-03,235
2018-01-18-16-00-03,235
2018-01-18-18-00-03,235
2018-01-18-22-00-03,235
2018-01-19-00-00-04,235
2018-01-19-02-00-04,237
2018-01-19-04-00-03,238
2018-01-19-06-00-04,238
2018-01-19-08-00-04,238
2018-01-19-10-00-04,239
2018-01-19-12-00-04,239
2018-01-19-14-00-03,239
2018-01-19-16-00-03,240
2018-01-19-18-00-03,240
2018-01-19-20-00-03,241
2018-01-19-22-00-02,241
2018-01-20-00-00-03,241
2018-01-20-02-00-03,241
2018-01-20-04-00-03,243
2018-01-20-06-00-03,241
2018-01-20-08-00-03,241
2018-01-20-10-00-04,242
2018-01-20-12-00-03,242
2018-01-20-14-00-03,242
2018-01-20-16-00-03,242
2018-01-20-18-00-03,242
2018-01-20-20-00-04,242
2018-01-20-22-00-03,242
2018-01-21-00-00-03,243
2018-01-21-02-00-02,243
2018-01-21-04-00-04,243
2018-01-21-06-00-02,244
2018-01-21-08-00-03,244
2018-01-21-10-00-02,244
2018-01-21-12-00-03,244
2018-01-21-14-00-03,244
2018-01-21-16-00-02,244
2018-01-21-18-00-04,246
2018-01-21-20-00-02,247
2018-01-21-22-00-03,247
2018-01-22-00-00-02,247
2018-01-22-02-00-02,247
2018-01-22-04-00-03,247
2018-01-22-06-00-02,247
2018-01-22-08-00-03,247
2018-01-22-10-00-03,248
2018-01-22-12-00-04,248
2018-01-22-14-00-03,249
2018-01-22-16-00-02,249
2018-01-22-18-00-03,250
2018-01-22-20-00-04,250
2018-01-22-22-00-02,250
2018-01-23-00-00-03,250
2018-01-23-02-00-03,250
2018-01-23-04-00-03,249
2018-01-23-06-00-03,249
2018-01-23-08-00-04,249
2018-01-23-10-00-04,250
2018-01-23-12-00-03,250
2018-01-23-14-00-02,251
2018-01-23-16-00-03,251
2018-01-23-18-00-02,252
2018-01-23-20-00-04,252
2018-01-23-22-00-04,253
